"NS_1","NS_10","NS_11","NS_12","NS_13","NS_14","NS_15","NS_16","NS_17","NS_18","NS_19","NS_2","NS_20","NS_21","NS_22","NS_23","NS_3","NS_4","NS_5","NS_6","NS_7","NS_8","NS_9","S_1","S_10","S_11","S_12","S_13","S_14","S_15","S_16","S_17","S_18","S_19","S_2","S_20","S_21","S_22","S_23","S_24","S_25","S_26","S_27","S_28","S_3","S_4","S_5","S_6","S_7","S_8","S_9"
696.28749,1236.34048,656.0030967,798.1196796,1033.20191,244.4839728,626.0490337,815.0458947,799.5058395,1323.166049,2567.114242,1112.863652,731.3845354,1750.476723,746.4511359,287.989255,694.165085,211.574133,516.9939135,819.4797523,1324.486518,264.5805716,824.5066389,1324.954556,957.1904515,771.0720972,861.1912582,1943.16305,183.2068498,2567.295856,976.5312787,726.1850657,457.2104108,1047.879121,970.0760944,338.5376617,3842.969491,1168.269838,1254.279706,945.536066,3548.447873,1548.186908,1526.03614,959.4608028,838.930019,1045.45378,971.0363634,765.1256987,1053.998229,1066.166075,795.887574
7238.534902,8714.871629,6486.628249,8737.269536,4767.497562,1630.254233,6510.434822,6109.121232,3572.681792,753.3147933,20506.23774,8847.995481,8800.291076,8677.340191,8076.757523,7367.323768,21202.31024,230.8247702,10843.89726,5845.411277,9672.624085,44580.37876,7713.171101,7828.491823,8157.883254,6200.700483,554.6446815,1903.850396,2490.319422,15877.12881,8340.856348,7052.649727,253.3003721,4040.091058,5778.371117,4827.767491,6363.611463,7970.050764,3489.786776,1282.179159,13037.92384,321.6145573,13295.07457,249.9874381,7810.227413,9812.344305,5833.040128,6945.654036,5087.557337,6474.696185,8242.685631
922.4716157,1093.846586,5006.200887,2097.862434,3071.678468,762.8869182,93.81479412,2952.185486,12815.6968,6724.833298,1105.223716,2433.336816,4122.295702,1432.188372,2827.864908,3175.170267,1319.319033,711.120229,9043.701042,699.6829283,5758.758156,747.9009454,2855.978425,9671.323423,6653.73558,3419.668498,3117.439551,11073.48641,2915.77007,6785.347444,3828.565756,1797.293971,5997.97186,3731.813554,2911.37845,15390.99569,7756.205289,3236.171086,7545.58222,673.0285965,367.2175831,5257.465418,577.7612708,2048.107195,355.0823299,2217.716207,2339.384471,1552.676456,3552.798087,4016.224957,1062.980077
2758.509091,18284.74338,186.1881378,11467.34341,953.1710085,255.6341567,3481.64425,1179.10231,1828.799002,15822.99204,5553.837991,882.6343912,13333.26434,16743.22371,4324.60162,8720.897716,2246.428482,2700.644288,3650.157352,2401.754518,10345.26572,6646.165746,136.9085056,839.8894923,2174.095968,4692.645074,6953.896764,2022.160477,8260.275884,7450.118449,3800.384503,2688.863885,671.9711904,2958.79553,1690.079424,1575.555409,1432.091897,3236.6371,2104.898846,8600.169173,4616.051558,4674.52281,15616.3055,7437.208158,14416.05017,7804.070996,13901.66552,1158.596195,4075.614279,1555.129419,2135.008357
324575.6208,420408.0895,455188.7796,387026.2256,409952.7383,293061.4394,457481.6829,474930.4042,483572.2791,356959.9349,412888.6817,372688.676,478278.847,374288.4211,350665.166,335996.7216,345548.2551,437826.4005,439191.0758,496307.5265,428861.5414,432450.9605,566615.4383,275650.7318,419691.9116,671483.3282,414984.6544,228674.3026,280223.1586,326682.6502,424668.8515,492117.2946,157692.4335,335251.7787,321752.061,486521.8893,329964.4829,307054.5111,336768.7167,613295.7651,288654.5675,392078.4994,414541.1696,484246.3011,447712.7256,925568.3167,406886.1079,485044.4334,274719.088,2157332.455,374865.1784
1398.674195,2970.328349,145.6700262,2124.168298,1719.306999,1731.279104,424.6368047,2423.895857,8703.453549,1560.161569,1844.012306,2130.522218,2061.599043,4212.718097,1912.197815,128.6866246,1725.204212,138.6825042,14218.57544,130.7627169,3789.9828,1993.170147,1266.108966,1223.310347,141.768007,761.2637914,4876.751914,4189.154462,2307.889477,2404.829701,2573.555719,1530.341829,2549.891098,1979.906741,437.369525,4709.261748,7678.135639,1673.553443,3532.719536,1852.600486,707.7550669,3895.930953,160.4356299,694.9035706,1743.3168,1840.006419,4541.110886,1919.788791,2826.824892,381.7885419,162.487822
3403.92771,4102.736867,4403.093615,13511.33191,1248.79985,4944.75578,4915.521724,5518.57985,3523.468409,7072.770892,6922.862133,1230.077373,2074.862581,6982.088247,4476.316781,3963.937014,8616.482745,6097.109935,3169.953189,4360.327455,11214.64304,5069.605596,4905.541982,10167.26116,16042.2065,10756.51622,1537.094173,12653.98548,10194.91662,5873.425622,6946.96617,4065.999331,10696.67362,5524.093585,12967.42973,5264.104617,11539.07148,2365.773083,6114.068005,3197.502113,5749.69036,5553.381696,4747.046295,8851.965987,4667.137909,3578.604089,6492.214081,4573.625927,6546.496818,10987.27745,4572.300517
19818.78509,6779.876765,9465.424116,23538.14929,22045.05819,2106.565726,5051.596102,3556.804892,6787.577318,39898.15148,10579.96067,7696.882129,10930.61026,8825.622513,9414.979372,4177.176248,4538.51591,5399.364693,15490.20986,4412.223444,3522.887002,29295.91269,5392.714074,4287.617021,28941.34723,7544.847299,24067.35147,4606.685974,16592.77388,8805.175037,3748.968643,13299.92194,7508.7036,2477.643681,5881.725799,7711.858391,12188.157,4559.625725,5419.317472,7200.219682,4811.192566,14082.49942,10185.59738,4917.682876,8200.39133,2456.470591,14497.7999,3070.73584,7628.931442,13899.1865,14317.16066
668.3228585,1288.307192,1649.670921,1669.258165,1392.204904,1716.184338,1804.290952,4279.286026,3038.518911,518.1859484,1222.006275,1587.943653,1437.523618,1889.327616,1922.482834,183.9237033,187.3070641,1975.807975,1493.407825,1375.908453,1173.122762,199.4028135,2099.420643,5280.184305,205.3132849,1969.337086,1421.617394,2065.871388,4476.888261,4393.877021,3311.202761,4396.488495,3046.268911,1151.35179,209.4391337,1284.31956,1611.888447,1593.173538,458.6661272,1261.699564,940.0269827,778.3802629,1453.001763,1306.760114,1686.993862,5538.50538,245.5730367,323.0370455,630.038803,1266.286411,1726.407521
89033.47698,84147.69877,84770.40132,85446.85993,87105.76191,87749.96192,84879.30044,86437.50902,84862.55215,84958.94046,85619.8904,86478.42947,81537.33104,81541.32527,88132.63071,80893.24528,87658.08944,85793.04475,81386.06052,88337.58174,81809.87576,85329.77511,87201.35433,83795.26897,81654.65539,80162.65843,80453.95552,79459.40006,81446.23053,76630.49878,79039.85721,79168.86117,77564.83369,80401.14702,80714.64676,79553.37375,74704.78122,76818.80583,78444.58566,77749.1185,75946.80936,77812.65519,75846.60622,77619.85115,81359.59473,83413.95593,76868.08724,83130.36389,83036.63724,82151.11143,80858.69642
